Voltage [V]	Current [A]_1	Current [A]_2	Current [A]_3	Current [A]_4	Current [A]_5
-3.0	0.00019	0.0001946	0.0002106	0.0002054	0.0002149
-2.9	0.0001678	0.0001632	0.0001873	0.0001905	0.0001906
-2.8	0.0001519	0.0001462	0.0001726	0.0001728	0.0001663
-2.7	0.0001381	0.0001343	0.0001543	0.0001566	0.0001435
-2.6	0.0001243	0.0001233	0.0001365	0.0001409	0.000126
-2.5	0.00011	0.0001105	0.0001202	0.0001273	0.0001103
-2.4	9.793e-05	9.528e-05	0.0001087	0.0001104	9.689e-05
-2.3	8.68e-05	8.442e-05	9.464e-05	9.995e-05	8.489e-05
-2.2	7.619e-05	7.264e-05	8.297e-05	9.098e-05	7.436e-05
-2.1	6.638e-05	6.36e-05	7.282e-05	7.732e-05	6.482e-05
-2.0	5.788e-05	5.636e-05	6.358e-05	6.49e-05	5.663e-05
-1.9	5.02e-05	4.719e-05	5.491e-05	5.531e-05	4.913e-05
-1.8	4.314e-05	3.997e-05	4.731e-05	4.651e-05	4.241e-05
-1.7	3.719e-05	3.399e-05	4.081e-05	3.887e-05	3.659e-05
-1.6	3.19e-05	2.942e-05	3.472e-05	3.196e-05	3.134e-05
-1.5	2.71e-05	2.413e-05	2.95e-05	2.614e-05	2.665e-05
-1.4	2.285e-05	1.972e-05	2.485e-05	2.09e-05	2.257e-05
-1.3	1.909e-05	1.582e-05	2.071e-05	1.653e-05	1.896e-05
-1.2	1.575e-05	1.249e-05	1.703e-05	1.275e-05	1.573e-05
-1.1	1.286e-05	9.239e-06	1.388e-05	9.269e-06	1.29e-05
-1.0	1.034e-05	6.625e-06	1.115e-05	6.783e-06	1.044e-05
-0.9	8.176e-06	4.658e-06	8.778e-06	4.789e-06	8.266e-06
-0.8	6.3e-06	3.125e-06	6.776e-06	3.21e-06	6.421e-06
-0.7	4.732e-06	2.003e-06	5.074e-06	2.001e-06	4.852e-06
-0.6	3.435e-06	1.236e-06	3.672e-06	1.243e-06	3.545e-06
-0.5	2.389e-06	6.434e-07	2.555e-06	6.373e-07	2.489e-06
-0.4	1.566e-06	3.122e-07	1.682e-06	3.042e-07	1.643e-06
-0.3	9.62e-07	1.229e-07	1.014e-06	1.37e-07	9.859e-07
-0.2	5.191e-07	4.2979007873246714e-08	5.349e-07	5.092e-08	5.281e-07
-0.1999	5.187477174163575e-07	4.294e-08	5.345266737618511e-07	5.087328465676087e-08	5.277381261344798e-07
-0.09996	2.158e-07	1.1481354433914432e-08	2.174e-07	1.466e-08	2.141e-07
-0.09995	2.1577709758293823e-07	1.148e-08	2.1737702187312325e-07	1.4658263868140797e-08	2.1407706895463618e-07
-8.502e-05	2.541314136822492e-10	1.3281041723796276e-11	2.9130152683374867e-10	1.376e-11	2.5443784062415213e-10
-8.433e-05	2.5274105118560895e-10	1.3235473440855176e-11	2.899e-10	1.370504129562905e-11	2.530762620962891e-10
-8.426e-05	2.526e-10	1.3230850612575455e-11	2.897578162105769e-10	1.3699465776996885e-11	2.5293813103915443e-10
-8.419e-05	2.524589488396371e-10	1.322622779184872e-11	2.89615632449766e-10	1.3693890258751771e-11	2.528e-10
-8.349e-05	2.510484391850951e-10	1.318e-11	2.881937964153176e-10	1.3638135097588302e-11	2.514186911841161e-10
-8.304e-05	2.501416848499285e-10	1.3150282418884693e-11	2.8727976047547735e-10	1.360229251442178e-11	2.505307085140889e-10
0.09992	1.906794064756842e-07	5.911e-09	1.942e-07	7.535e-09	1.88e-07
0.09993	1.907e-07	5.911665285460772e-09	1.9422064087085632e-07	7.535710975844056e-09	1.880200395581047e-07
0.1999	4.461e-07	1.462e-08	4.492e-07	1.374e-08	4.302e-07
0.2999	7.837e-07	3.903e-08	7.977e-07	3.461121412426805e-08	7.616e-07
0.3	7.840573014481092e-07	3.906217754046813e-08	7.980946546233503e-07	3.464e-08	7.619731876538587e-07
0.4	1.179e-06	8.423e-08	1.251e-06	7.271e-08	1.189e-06
0.5	1.731e-06	1.557e-07	1.822e-06	1.28e-07	1.731e-06
0.6	2.419e-06	2.609e-07	2.567e-06	2.213e-07	2.395e-06
0.7	3.219e-06	4.164e-07	3.414e-06	3.657e-07	3.208e-06
0.8	4.169e-06	6.235e-07	4.4e-06	5.863e-07	4.111e-06
0.9	5.32e-06	9.211e-07	5.519e-06	8.83e-07	5.195e-06
1.0	6.635e-06	1.306e-06	6.773e-06	1.256e-06	6.427e-06
1.1	8.171e-06	1.833e-06	8.255e-06	1.796e-06	7.792e-06
1.2	9.799e-06	2.505e-06	9.811e-06	2.483e-06	9.41e-06
1.3	1.159e-05	3.364e-06	1.138e-05	3.375e-06	1.081e-05
1.4	1.357e-05	4.467e-06	1.344e-05	4.491e-06	1.276e-05
1.5	1.549e-05	5.8e-06	1.57e-05	5.839e-06	1.486e-05
1.6	1.747e-05	7.41e-06	1.776e-05	7.519e-06	1.708e-05
1.7	2.03e-05	9.311e-06	2.015e-05	9.567e-06	1.965e-05
1.8	2.315e-05	1.143e-05	2.306e-05	1.193e-05	2.297e-05
1.9	2.637e-05	1.399e-05	2.638e-05	1.47e-05	2.542e-05
2.0	2.93e-05	1.691e-05	2.98e-05	1.798e-05	2.873e-05
2.099	3.303e-05	2.016e-05	3.354e-05	2.17e-05	3.319e-05
2.199	3.676e-05	2.387e-05	3.726e-05	2.607e-05	3.83e-05
2.299	4.085e-05	2.809e-05	4.137e-05	3.111e-05	4.254e-05
2.399	4.414e-05	3.285e-05	4.697e-05	3.677e-05	4.675e-05
2.499	4.964e-05	3.819e-05	5.28e-05	4.33e-05	5.311e-05
2.599	5.445e-05	4.438e-05	5.848e-05	5.075e-05	6.031e-05
2.699	6.128e-05	5.146e-05	6.742e-05	5.901e-05	6.496e-05
2.799	6.721e-05	6.013e-05	7.415e-05	6.858e-05	7.773e-05
2.899	7.468e-05	7.071e-05	8.34e-05	7.884e-05	8.479e-05
2.999	8.297e-05	8.308e-05	9.131e-05	9.098e-05	9.459e-05
